order_id,customer_id,order_date,status,total_amount
ORD0000001,CUST000095,2025-12-05 06:38:03,delivered,1347.7
ORD0000002,CUST000098,2025-07-20 09:35:22,processing,1207.42
ORD0000003,CUST000007,2025-11-26 05:46:34,shipped,3069.91
ORD0000004,CUST000166,2025-06-24 12:57:43,delivered,2348.12
ORD0000005,CUST000180,2025-02-01 10:11:28,delivered,627.55
ORD0000006,CUST000012,2024-10-12 04:56:01,shipped,2488.49
ORD0000007,CUST000025,2025-04-05 08:37:11,canceled,721.54
ORD0000008,CUST000117,2025-08-24 06:13:27,delivered,3728.54
ORD0000009,CUST000139,2025-11-22 18:34:48,delivered,3646.67
ORD0000010,CUST000107,2024-11-07 12:42:59,delivered,3097.48
ORD0000011,CUST000072,2024-10-04 08:30:16,delivered,1125.48
ORD0000012,CUST000114,2025-06-05 12:43:05,canceled,541.81
ORD0000013,CUST000176,2024-12-09 02:54:14,shipped,4890.32
ORD0000014,CUST000092,2025-11-25 10:40:37,shipped,989.55
ORD0000015,CUST000032,2025-10-17 06:49:25,processing,1099.92
ORD0000016,CUST000164,2025-03-30 19:02:28,returned,300.36
ORD0000017,CUST000086,2025-08-13 13:52:56,returned,3945.54
ORD0000018,CUST000053,2025-06-11 04:36:48,delivered,2793.33
ORD0000019,CUST000151,2025-03-23 18:20:45,delivered,1203.34
ORD0000020,CUST000199,2024-06-14 02:30:01,delivered,3000.11
ORD0000021,CUST000071,2025-01-24 20:47:50,returned,2724.07
ORD0000022,CUST000045,2025-11-17 15:21:04,delivered,177.61
ORD0000023,CUST000004,2025-03-05 19:57:16,delivered,1227.76
ORD0000024,CUST000083,2024-08-16 15:20:37,shipped,309.38
ORD0000025,CUST000190,2025-08-09 03:16:50,shipped,3741.04
ORD0000026,CUST000122,2025-06-01 22:55:23,delivered,2590.53
ORD0000027,CUST000028,2025-02-22 07:52:50,shipped,4729.81
ORD0000028,CUST000012,2025-10-23 07:48:16,shipped,3234.54
ORD0000029,CUST000008,2025-02-24 11:28:24,returned,4244.13
ORD0000030,CUST000110,2025-08-31 02:54:05,shipped,4553.02
ORD0000031,CUST000019,2025-11-12 15:16:57,shipped,784.25
ORD0000032,CUST000033,2025-11-23 10:57:44,delivered,2947.56
ORD0000033,CUST000183,2025-07-21 11:00:11,shipped,3007.09
ORD0000034,CUST000076,2025-09-11 22:21:07,shipped,2179.49
ORD0000035,CUST000180,2024-09-08 13:47:27,canceled,3272.04
ORD0000036,CUST000197,2025-12-04 16:48:24,delivered,1114.36
ORD0000037,CUST000116,2025-10-12 09:30:37,shipped,4145.73
ORD0000038,CUST000103,2025-05-30 11:00:55,delivered,1597.11
ORD0000039,CUST000081,2025-10-31 06:46:32,shipped,4770.28
ORD0000040,CUST000176,2025-03-02 04:16:42,processing,4167.27
ORD0000041,CUST000024,2025-06-27 18:31:27,processing,3707.04
ORD0000042,CUST000034,2025-04-07 05:33:18,processing,4785.29
ORD0000043,CUST000144,2024-10-21 16:52:50,delivered,2083.5
ORD0000044,CUST000171,2025-11-21 01:32:56,shipped,4583.43
ORD0000045,CUST000014,2025-12-03 14:50:36,delivered,1790.65
ORD0000046,CUST000148,2025-11-11 10:44:14,shipped,3300.84
ORD0000047,CUST000058,2025-12-11 04:56:57,processing,4234.6
ORD0000048,CUST000095,2024-09-27 21:49:17,delivered,2891.8
ORD0000049,CUST000110,2025-11-27 02:03:09,returned,4101.21
ORD0000050,CUST000158,2025-08-18 18:19:55,delivered,179.96
ORD0000051,CUST000169,2025-12-11 05:10:11,shipped,943.06
ORD0000052,CUST000180,2025-02-06 16:51:00,canceled,1787.57
ORD0000053,CUST000047,2024-07-30 20:32:48,delivered,2033.88
ORD0000054,CUST000037,2025-09-30 13:22:07,returned,504.2
ORD0000055,CUST000136,2025-05-24 19:02:23,shipped,2295.55
ORD0000056,CUST000041,2025-02-19 12:33:50,shipped,1655.7
ORD0000057,CUST000146,2025-10-04 03:45:56,processing,310.41
ORD0000058,CUST000041,2025-08-30 23:36:46,pending,453.83
ORD0000059,CUST000114,2025-11-17 21:42:16,shipped,3055.03
ORD0000060,CUST000107,2025-03-22 19:01:06,shipped,2586.11
ORD0000061,CUST000089,2025-04-10 07:13:47,processing,3407.18
ORD0000062,CUST000152,2025-09-30 06:18:26,shipped,1576.68
ORD0000063,CUST000057,2025-11-13 11:49:26,returned,321.17
ORD0000064,CUST000053,2025-09-09 14:33:09,canceled,3848.38
ORD0000065,CUST000196,2024-10-08 11:23:21,shipped,643.92
ORD0000066,CUST000128,2025-10-24 17:42:32,shipped,689.47
ORD0000067,CUST000137,2025-11-01 02:41:40,shipped,2815.68
ORD0000068,CUST000172,2025-07-02 10:22:59,processing,4315.73
ORD0000069,CUST000011,2025-09-06 10:18:45,pending,4609.75
ORD0000070,CUST000081,2025-09-26 13:59:07,shipped,2051.89
ORD0000071,CUST000164,2024-11-11 09:48:49,shipped,2054.91
ORD0000072,CUST000084,2025-07-09 15:05:41,delivered,3109.72
ORD0000073,CUST000177,2025-11-22 23:04:07,processing,4230.2
ORD0000074,CUST000063,2024-11-17 12:13:08,delivered,2643.61
ORD0000075,CUST000102,2025-06-02 21:39:01,delivered,1146.78
ORD0000076,CUST000200,2025-02-02 21:27:35,processing,3184.46
ORD0000077,CUST000136,2025-09-16 06:57:13,shipped,3892.33
ORD0000078,CUST000090,2025-07-01 06:54:00,shipped,774.9
ORD0000079,CUST000051,2024-07-27 05:37:41,delivered,3813.07
ORD0000080,CUST000168,2025-02-08 09:09:49,shipped,3875.6
ORD0000081,CUST000127,2025-05-23 15:27:30,delivered,3811.39
ORD0000082,CUST000115,2025-07-22 10:26:55,canceled,2844.23
ORD0000083,CUST000163,2025-08-18 05:30:32,canceled,3154.73
ORD0000084,CUST000039,2025-08-20 02:52:55,processing,2238.93
ORD0000085,CUST000078,2025-11-16 12:24:15,shipped,328.05
ORD0000086,CUST000130,2024-09-05 09:47:08,shipped,2286.97
ORD0000087,CUST000015,2025-10-16 11:15:18,delivered,429.82
ORD0000088,CUST000024,2025-11-17 00:20:59,delivered,1953.19
ORD0000089,CUST000149,2025-06-23 18:45:15,returned,3707.66
ORD0000090,CUST000011,2025-09-16 22:14:01,canceled,2879.7
ORD0000091,CUST000049,2025-07-12 23:13:46,delivered,2531.77
ORD0000092,CUST000016,2025-05-09 03:53:17,processing,4500.68
ORD0000093,CUST000088,2025-09-18 19:36:37,processing,3248.33
ORD0000094,CUST000011,2025-04-13 00:52:03,delivered,4955.38
ORD0000095,CUST000135,2025-09-05 04:14:49,delivered,1851.29
ORD0000096,CUST000073,2025-08-13 18:26:09,shipped,1724.92
ORD0000097,CUST000154,2025-02-07 18:47:33,delivered,3254.16
ORD0000098,CUST000017,2025-11-14 12:19:49,processing,3407.98
ORD0000099,CUST000073,2025-04-30 14:00:34,delivered,3299.99
ORD0000100,CUST000155,2025-06-15 19:20:57,shipped,2934.56
ORD0000101,CUST000037,2025-02-22 11:19:08,shipped,3297.47
ORD0000102,CUST000170,2025-10-30 21:32:03,processing,3558.73
ORD0000103,CUST000022,2025-07-17 10:12:04,delivered,3235.29
ORD0000104,CUST000085,2025-11-24 04:55:44,processing,3529.01
ORD0000105,CUST000190,2025-10-30 00:41:25,processing,3368.76
ORD0000106,CUST000131,2025-05-21 11:43:41,pending,1578.89
ORD0000107,CUST000055,2025-04-14 00:45:39,canceled,2457.04
ORD0000108,CUST000058,2025-10-03 07:12:22,shipped,1514.17
ORD0000109,CUST000026,2025-10-12 12:33:43,delivered,4183.84
ORD0000110,CUST000135,2025-02-28 19:42:51,delivered,4388.14
ORD0000111,CUST000159,2025-08-28 20:35:36,delivered,813.55
ORD0000112,CUST000047,2025-09-30 17:43:27,delivered,4054.77
ORD0000113,CUST000043,2025-09-08 13:29:59,shipped,2083.75
ORD0000114,CUST000174,2025-10-29 20:26:10,shipped,2248.78
ORD0000115,CUST000073,2025-09-30 13:05:29,shipped,1233.88
ORD0000116,CUST000121,2024-12-05 12:30:09,shipped,4738.29
ORD0000117,CUST000113,2025-09-22 06:21:04,delivered,3901.71
ORD0000118,CUST000129,2025-08-20 13:54:25,shipped,852.19
ORD0000119,CUST000052,2025-02-17 11:22:40,canceled,308.29
ORD0000120,CUST000124,2025-11-03 03:10:13,delivered,557.82
ORD0000121,CUST000133,2024-11-03 07:07:11,shipped,3827.43
ORD0000122,CUST000070,2025-11-06 07:14:38,canceled,779.38
ORD0000123,CUST000112,2025-03-30 00:30:38,canceled,1149.09
