transaction_id,order_id,payment_method,payment_provider,transaction_date,amount,currency,status,card_last_four,authorization_code,processing_fee
8001,3001,PayPal,PayPal,2023-10-21 10:46:00,1324.89,USD,Completed,,AUTH496504,30.11
8002,3002,Debit Card,Stripe,2024-03-08 12:16:00,1308.39,USD,Completed,8472,AUTH938379,38.23
8003,3003,PayPal,PayPal,2024-01-20 09:16:00,337.04,USD,Completed,,AUTH152367,6.74
8004,3004,Credit Card,Square,2023-08-13 16:13:00,3065.19,USD,Failed,8606,,73.43
8005,3005,PayPal,PayPal,2023-09-07 19:23:00,3387.39,USD,Completed,,AUTH899555,82.49
8006,3006,Debit Card,Stripe,2023-08-18 13:50:00,1012.43,USD,Completed,8337,AUTH721895,24.81
8007,3007,Credit Card,Square,2023-10-05 09:17:00,2741.17,USD,Pending,2458,,66.33
8008,3008,Debit Card,Stripe,2024-03-07 14:04:00,1769.52,USD,Completed,6694,AUTH547354,47.61
8009,3009,Credit Card,Stripe,2023-11-18 20:17:00,2116.17,USD,Completed,6416,AUTH134630,42.81
8010,3010,Credit Card,Stripe,2023-06-06 09:24:00,359.94,USD,Completed,4614,AUTH593103,7.92
8011,3011,Credit Card,Square,2023-07-24 20:59:00,1736.67,USD,Failed,7989,,45.44
8012,3012,Debit Card,Stripe,2023-11-04 17:52:00,642.42,USD,Completed,2800,AUTH765834,16.48
8013,3013,Debit Card,Stripe,2023-11-26 19:36:00,1852.1,USD,Completed,7228,AUTH333559,42.99
8014,3014,Debit Card,Stripe,2023-07-21 08:10:00,1728.23,USD,Completed,8634,AUTH853942,34.7
8015,3015,PayPal,PayPal,2023-11-24 20:47:00,2246.9,USD,Completed,,AUTH269357,56.82
8016,3016,Credit Card,Square,2024-03-30 10:16:00,2854.37,USD,Completed,4381,AUTH547287,65.64
8017,3017,PayPal,PayPal,2023-08-04 10:24:00,963.2,USD,Pending,,PP743911,22.06
8018,3018,Credit Card,Square,2023-12-07 19:49:00,2981.26,USD,Completed,6712,AUTH395376,71.97
8019,3019,Debit Card,Stripe,2024-01-21 10:28:00,3856.64,USD,Completed,6413,AUTH890331,87.23
8020,3020,PayPal,PayPal,2023-10-25 12:27:00,1337.31,USD,Completed,,AUTH422323,36.23
8021,3021,Debit Card,Stripe,2023-07-15 12:26:00,570.44,USD,Completed,6002,AUTH741714,12.1
8022,3022,Credit Card,Stripe,2023-07-11 09:46:00,3207.79,USD,Completed,4972,AUTH974285,86.79
8023,3023,PayPal,PayPal,2024-03-21 08:05:00,1316.86,USD,Completed,,AUTH572792,30.09
8024,3024,Credit Card,Square,2024-02-08 20:55:00,692.34,USD,Pending,5322,,13.97
8025,3025,Debit Card,Stripe,2024-02-16 19:08:00,2438.54,USD,Completed,1782,AUTH722142,56.77
8026,3026,Debit Card,Stripe,2024-02-28 19:07:00,640.73,USD,Completed,8815,AUTH858693,18.81
8027,3027,PayPal,PayPal,2023-09-06 19:00:00,1948.34,USD,Completed,,AUTH265353,40.99
8028,3028,Credit Card,Stripe,2024-02-29 19:22:00,3005.9,USD,Failed,8299,,64.0
8029,3029,PayPal,PayPal,2024-01-16 10:43:00,1546.61,USD,Completed,,AUTH601992,42.71
8030,3030,Credit Card,Square,2023-07-09 13:53:00,977.54,USD,Completed,9496,AUTH464639,21.43
8031,3031,Debit Card,Stripe,2023-06-27 14:31:00,2601.84,USD,Completed,8743,AUTH939230,67.27
8032,3032,PayPal,PayPal,2023-07-28 13:58:00,468.62,USD,Completed,,AUTH110654,9.57
8033,3033,Credit Card,Square,2024-03-03 20:54:00,3497.8,USD,Completed,5987,AUTH500033,102.45
8034,3034,Credit Card,Stripe,2024-02-03 12:16:00,1242.36,USD,Completed,4660,AUTH694095,25.53
8035,3035,Debit Card,Stripe,2024-03-18 14:13:00,1144.38,USD,Completed,6828,AUTH211816,24.45
